,data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
1538088,2020-09-02,4,-3.0,1.5714285714285714
1538313,2020-09-03,2,-2.0,1.8571428571428572
1538538,2020-09-04,0,-2.0,2.0
1538763,2020-09-05,3,3.0,2.2857142857142856
1538988,2020-09-06,0,-3.0,2.2857142857142856
1539213,2020-09-07,0,0.0,2.2857142857142856
1539438,2020-09-08,0,0.0,1.2857142857142858
1539663,2020-09-09,4,4.0,1.2857142857142858
1539888,2020-09-10,2,-2.0,1.2857142857142858
1540113,2020-09-11,1,-1.0,1.4285714285714286
1540338,2020-09-12,7,6.0,2.0
1540563,2020-09-13,0,-7.0,2.0
1540788,2020-09-14,0,0.0,2.0
1541013,2020-09-15,2,2.0,2.2857142857142856
1541238,2020-09-16,0,-2.0,1.7142857142857142
1541463,2020-09-17,0,0.0,1.4285714285714286
1541688,2020-09-18,0,0.0,1.2857142857142858
1541913,2020-09-19,1,1.0,0.42857142857142855
1542138,2020-09-20,0,-1.0,0.42857142857142855
1542363,2020-09-21,0,0.0,0.42857142857142855
1542588,2020-09-22,0,0.0,0.14285714285714285
1542813,2020-09-23,2,2.0,0.42857142857142855
1543038,2020-09-24,1,-1.0,0.5714285714285714
1543263,2020-09-25,1,0.0,0.7142857142857143
1543488,2020-09-26,0,-1.0,0.5714285714285714
1543713,2020-09-27,0,0.0,0.5714285714285714
1543938,2020-09-28,0,0.0,0.5714285714285714
1544163,2020-09-29,1,1.0,0.7142857142857143
1544388,2020-09-30,1,0.0,0.5714285714285714
1544613,2020-10-01,0,-1.0,0.42857142857142855
1544838,2020-10-02,1,1.0,0.42857142857142855
1545063,2020-10-03,0,-1.0,0.42857142857142855
1545288,2020-10-04,0,0.0,0.42857142857142855
1545513,2020-10-05,0,0.0,0.42857142857142855
1545738,2020-10-06,0,0.0,0.2857142857142857
1545963,2020-10-07,0,0.0,0.14285714285714285
1546188,2020-10-08,0,0.0,0.14285714285714285
1546413,2020-10-09,0,0.0,0.0
1546638,2020-10-10,0,0.0,0.0
1546863,2020-10-11,0,0.0,0.0
1547088,2020-10-12,0,0.0,0.0
1547313,2020-10-13,0,0.0,0.0
1547538,2020-10-14,1,1.0,0.14285714285714285
1547763,2020-10-15,0,-1.0,0.14285714285714285
1547988,2020-10-16,0,0.0,0.14285714285714285
1548213,2020-10-17,0,0.0,0.14285714285714285
1548438,2020-10-18,0,0.0,0.14285714285714285
1548663,2020-10-19,0,0.0,0.14285714285714285
1548888,2020-10-20,0,0.0,0.14285714285714285
1549113,2020-10-21,0,0.0,0.0
1549338,2020-10-22,0,0.0,0.0
1549563,2020-10-23,0,0.0,0.0
1549788,2020-10-24,0,0.0,0.0
1550013,2020-10-25,0,0.0,0.0
1550238,2020-10-26,0,0.0,0.0
1550463,2020-10-27,0,0.0,0.0
1550688,2020-10-28,0,0.0,0.0
1550913,2020-10-29,0,0.0,0.0
1551138,2020-10-30,0,0.0,0.0
1551363,2020-10-31,2,2.0,0.2857142857142857
1551588,2020-11-01,0,-2.0,0.2857142857142857
1551813,2020-11-02,0,0.0,0.2857142857142857
1552038,2020-11-03,0,0.0,0.2857142857142857
1552263,2020-11-04,0,0.0,0.2857142857142857
1552488,2020-11-05,0,0.0,0.2857142857142857
1552713,2020-11-06,1,1.0,0.42857142857142855
1552938,2020-11-07,1,0.0,0.2857142857142857
1553163,2020-11-08,0,-1.0,0.2857142857142857
1553388,2020-11-09,0,0.0,0.2857142857142857
1553613,2020-11-10,0,0.0,0.2857142857142857
1553838,2020-11-11,0,0.0,0.2857142857142857
1554063,2020-11-12,0,0.0,0.2857142857142857
1554288,2020-11-13,0,0.0,0.14285714285714285
1554513,2020-11-14,0,0.0,0.0
