data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
2020-09-23,2,2.0,0.42857142857142855
2020-09-24,1,-1.0,0.5714285714285714
2020-09-25,1,0.0,0.7142857142857143
2020-09-26,0,-1.0,0.5714285714285714
2020-09-27,0,0.0,0.5714285714285714
2020-09-28,0,0.0,0.5714285714285714
2020-09-29,1,1.0,0.7142857142857143
2020-09-30,1,0.0,0.5714285714285714
2020-10-01,0,-1.0,0.42857142857142855
2020-10-02,1,1.0,0.42857142857142855
2020-10-03,0,-1.0,0.42857142857142855
2020-10-04,0,0.0,0.42857142857142855
2020-10-05,0,0.0,0.42857142857142855
2020-10-06,0,0.0,0.2857142857142857
2020-10-07,0,0.0,0.14285714285714285
2020-10-08,0,0.0,0.14285714285714285
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,1,1.0,0.14285714285714285
2020-10-15,0,-1.0,0.14285714285714285
2020-10-16,0,0.0,0.14285714285714285
2020-10-17,0,0.0,0.14285714285714285
2020-10-18,0,0.0,0.14285714285714285
2020-10-19,0,0.0,0.14285714285714285
2020-10-20,0,0.0,0.14285714285714285
2020-10-21,0,0.0,0.0
2020-10-22,0,0.0,0.0
2020-10-23,0,0.0,0.0
2020-10-24,0,0.0,0.0
2020-10-25,0,0.0,0.0
2020-10-26,0,0.0,0.0
2020-10-27,0,0.0,0.0
2020-10-28,0,0.0,0.0
2020-10-29,0,0.0,0.0
2020-10-30,0,0.0,0.0
2020-10-31,2,2.0,0.2857142857142857
2020-11-01,0,-2.0,0.2857142857142857
2020-11-02,0,0.0,0.2857142857142857
2020-11-03,0,0.0,0.2857142857142857
2020-11-04,0,0.0,0.2857142857142857
2020-11-05,0,0.0,0.2857142857142857
2020-11-06,1,1.0,0.42857142857142855
2020-11-07,1,0.0,0.2857142857142857
2020-11-08,0,-1.0,0.2857142857142857
2020-11-09,0,0.0,0.2857142857142857
2020-11-10,0,0.0,0.2857142857142857
2020-11-11,0,0.0,0.2857142857142857
2020-11-12,0,0.0,0.2857142857142857
2020-11-13,0,0.0,0.14285714285714285
2020-11-14,0,0.0,0.0
2020-11-15,2,2.0,0.2857142857142857
2020-11-16,0,-2.0,0.2857142857142857
2020-11-17,2,2.0,0.5714285714285714
2020-11-18,0,-2.0,0.5714285714285714
2020-11-19,0,0.0,0.5714285714285714
2020-11-20,0,0.0,0.5714285714285714
2020-11-21,0,0.0,0.5714285714285714
2020-11-22,0,0.0,0.2857142857142857
